Latitude (decimal degrees):	-23.510
Longitude (decimal degrees):	-46.686
Elevation (m):	725
Radiation database:	PVGIS-SARAH3


Slope: 35 deg. 
Azimuth: 0 deg. 
time,G(i),H_sun,T2m,WS10m,Int
20050101:0003,0.0,0.0,22.17,1.66,0.0
20050101:0103,0.0,0.0,21.46,1.45,0.0
20050101:0203,0.0,0.0,20.83,1.24,0.0
20050101:0303,0.0,0.0,20.28,1.03,0.0
20050101:0403,0.0,0.0,19.82,0.97,0.0
20050101:0503,0.0,0.0,19.57,0.97,0.0
20050101:0603,0.0,0.0,19.38,0.97,0.0
20050101:0703,0.0,0.0,19.5,1.03,0.0
20050101:0803,0.0,0.0,19.41,1.24,0.0
20050101:0903,6.49,7.54,19.13,1.31,0.0
20050101:1003,98.24,20.52,19.43,1.86,0.0
20050101:1103,476.58,33.81,21.18,2.0,0.0
20050101:1203,631.45,47.31,22.95,2.34,0.0
20050101:1303,730.17,60.96,24.64,2.48,0.0
20050101:1403,873.52,74.68,25.66,2.83,0.0
20050101:1503,939.42,88.38,26.05,3.03,0.0
20050101:1603,919.2,77.75,25.85,3.38,0.0
20050101:1703,849.59,64.01,23.63,3.31,0.0
20050101:1803,830.55,50.35,24.42,3.86,0.0
20050101:1903,464.28,36.81,24.77,4.14,0.0
20050101:2003,462.01,23.46,23.97,4.14,0.0
20050101:2103,64.9,10.4,22.75,4.0,0.0
20050101:2203,0.0,-2.21,21.45,3.38,0.0
20050101:2303,0.0,0.0,20.51,2.55,0.0
20050102:0003,0.0,0.0,19.95,2.34,0.0
20050102:0103,0.0,0.0,19.48,2.07,0.0
20050102:0203,0.0,0.0,19.19,1.86,0.0
20050102:0303,0.0,0.0,18.8,1.72,0.0
20050102:0403,0.0,0.0,18.36,1.52,0.0
20050102:0503,0.0,0.0,17.91,1.31,0.0
20050102:0603,0.0,0.0,17.78,1.03,0.0
20050102:0703,0.0,0.0,17.62,1.03,0.0
20050102:0803,0.0,0.0,16.92,1.52,0.0
20050102:0903,3.71,7.42,17.07,1.72,0.0
20050102:1003,266.3,20.39,19.48,1.93,0.0
20050102:1103,458.0,33.69,21.31,2.62,0.0
20050102:1203,642.29,47.2,23.12,2.83,0.0
20050102:1303,779.2,60.84,24.45,2.83,0.0
20050102:1403,755.13,74.57,25.44,2.69,0.0
20050102:1503,761.68,88.26,26.04,2.48,0.0
20050102:1603,879.27,77.84,26.48,2.41,0.0
20050102:1703,790.2,64.1,26.38,2.9,0.0
20050102:1803,834.92,50.43,25.89,3.52,0.0
20050102:1903,639.59,36.89,25.28,4.0,0.0
20050102:2003,422.13,23.53,24.47,4.28,0.0
20050102:2103,57.48,10.47,23.19,3.79,0.0
20050102:2203,0.0,-2.16,21.8,3.24,0.0
20050102:2303,0.0,0.0,20.85,2.41,0.0
20050103:0003,0.0,0.0,20.19,1.93,0.0
20050103:0103,0.0,0.0,19.81,1.66,0.0
20050103:0203,0.0,0.0,19.49,1.45,0.0
20050103:0303,0.0,0.0,19.1,1.31,0.0
20050103:0403,0.0,0.0,18.73,1.24,0.0
20050103:0503,0.0,0.0,18.55,1.03,0.0
20050103:0603,0.0,0.0,17.96,1.45,0.0
20050103:0703,0.0,0.0,17.85,1.52,0.0
20050103:0803,0.0,0.0,17.71,1.38,0.0
20050103:0903,4.64,7.29,18.03,1.17,0.0
20050103:1003,272.31,20.27,20.45,1.1,0.0
20050103:1103,459.33,33.57,22.22,1.86,0.0
20050103:1203,634.57,47.08,23.72,2.21,0.0
20050103:1303,770.93,60.73,25.15,2.14,0.0
20050103:1403,812.45,74.46,26.48,1.93,0.0
20050103:1503,781.59,88.13,27.48,1.79,0.0
20050103:1603,600.24,77.94,27.91,1.45,0.0
20050103:1703,796.27,64.19,26.72,0.83,0.0
20050103:1803,242.9,50.52,25.05,2.0,0.0
20050103:1903,371.61,36.96,23.8,2.21,0.0
20050103:2003,46.36,23.6,23.13,2.07,0.0
20050103:2103,19.47,10.53,22.86,1.72,0.0
20050103:2203,0.0,-2.11,22.16,1.03,0.0
20050103:2303,0.0,0.0,21.51,0.69,0.0
20050104:0003,0.0,0.0,21.18,0.34,0.0
20050104:0103,0.0,0.0,21.11,1.03,0.0
20050104:0203,0.0,0.0,20.91,1.45,0.0
20050104:0303,0.0,0.0,20.52,1.66,0.0
20050104:0403,0.0,0.0,20.34,1.66,0.0
20050104:0503,0.0,0.0,20.3,2.0,0.0
20050104:0603,0.0,0.0,20.33,2.28,0.0
20050104:0703,0.0,0.0,20.22,1.45,0.0
20050104:0803,0.0,0.0,20.27,1.86,0.0
20050104:0903,1.85,7.15,20.29,2.0,0.0
20050104:1003,103.39,20.14,20.76,2.14,0.0
20050104:1103,153.28,33.45,21.45,2.48,0.0
20050104:1203,125.16,46.96,21.72,2.9,0.0
20050104:1303,280.79,60.62,22.02,3.52,0.0
20050104:1403,173.37,74.35,22.13,3.86,0.0
20050104:1503,254.03,88.0,22.06,3.45,0.0
20050104:1603,193.77,78.03,21.69,2.97,0.0
20050104:1703,128.87,64.28,21.75,2.9,0.0
20050104:1803,212.31,50.6,21.72,2.28,0.0
20050104:1903,166.88,37.04,22.2,2.69,0.0
20050104:2003,38.94,23.67,22.36,2.48,0.0
20050104:2103,19.47,10.59,22.17,2.48,0.0
20050104:2203,0.0,-2.07,21.31,2.41,0.0
20050104:2303,0.0,0.0,20.87,1.79,0.0
20050105:0003,0.0,0.0,20.59,1.86,0.0
20050105:0103,0.0,0.0,20.39,2.07,0.0
20050105:0203,0.0,0.0,20.3,2.69,0.0
20050105:0303,0.0,0.0,20.23,3.38,0.0
20050105:0403,0.0,0.0,20.05,3.59,0.0
20050105:0503,0.0,0.0,19.8,3.31,0.0
20050105:0603,0.0,0.0,19.67,3.45,0.0
20050105:0703,0.0,0.0,19.5,4.0,0.0
20050105:0803,0.0,0.0,19.17,4.07,0.0
20050105:0903,0.93,7.02,19.02,3.66,0.0
20050105:1003,117.89,20.01,19.34,3.24,0.0
20050105:1103,158.99,33.32,19.8,4.34,0.0
20050105:1203,210.47,46.84,20.41,4.9,0.0
20050105:1303,292.8,60.5,21.07,5.17,0.0
20050105:1403,191.91,74.24,22.42,5.17,0.0
20050105:1503,351.03,87.86,23.23,5.31,0.0
20050105:1603,330.82,78.11,22.6,5.17,0.0
20050105:1703,485.09,64.37,23.03,5.24,0.0
20050105:1803,352.49,50.68,24.23,4.83,0.0
